['Training set', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.49, 95.82, 93.62, 86.78, 82.96, 86.22, 82.18]
RandomForest (accuracy): [99.545, 96.22, 94.46, 87.1, 83.76, 86.96, 82.7]
RandomForest (modified) (auc): [0.999057925, 0.9897524, 0.98859232, 0.94011488, 0.95788368, 0.93945704, 0.89885816]
RandomForest (auc): [0.999472455, 0.99359192, 0.99359584, 0.95181688, 0.97066016, 0.96904104, 0.91949216]
RandomForest (modified) (recall): [0.9955, 0.9524, 0.8756, 0.7804, 0.676, 0.736, 0.6644]
RandomForest (recall): [0.9968, 0.9624, 0.8924, 0.7952, 0.7004, 0.7436, 0.6752]
RandomForest (modified) (precision): [0.9943068318018378, 0.9635774989882638, 0.996358670914884, 0.9457101308773631, 0.9757505773672055, 0.9844836811128946, 0.9696438995913602]
RandomForest (precision): [0.994115887104817, 0.9620151939224311, 0.9964269763287181, 0.9372937293729373, 0.9652701212789415, 0.9941176470588236, 0.9695577254451465]
