['Training set', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.56, 96.32, 94.58, 87.74, 84.42, 86.8, 82.78]
RandomForest (accuracy): [99.545, 96.22, 94.46, 87.1, 83.76, 86.96, 82.7]
RandomForest (modified) (auc): [0.999681855, 0.99324096, 0.9949768, 0.959938, 0.9738968, 0.9745908, 0.92439168]
RandomForest (auc): [0.999472455, 0.99359192, 0.99359584, 0.95181688, 0.97066016, 0.96904104, 0.91949216]
RandomForest (modified) (recall): [0.9967, 0.9664, 0.8936, 0.8016, 0.7044, 0.74, 0.6776]
RandomForest (recall): [0.9968, 0.9624, 0.8924, 0.7952, 0.7004, 0.7436, 0.6752]
RandomForest (modified) (precision): [0.9945120734384354, 0.9602543720190779, 0.9977668602054489, 0.9448373408769448, 0.9777901166018879, 0.9946236559139785, 0.9685534591194969]
RandomForest (precision): [0.994115887104817, 0.9620151939224311, 0.9964269763287181, 0.9372937293729373, 0.9652701212789415, 0.9941176470588236, 0.9695577254451465]
