['Training set', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.555, 96.42, 94.54, 88.04, 84.3, 86.68, 82.9]
RandomForest (accuracy): [99.545, 96.22, 94.46, 87.1, 83.76, 86.96, 82.7]
RandomForest (modified) (auc): [0.99971931, 0.99337456, 0.9951424, 0.96036296, 0.97445912, 0.9741812, 0.92159864]
RandomForest (auc): [0.999472455, 0.99359192, 0.99359584, 0.95181688, 0.97066016, 0.96904104, 0.91949216]
RandomForest (modified) (recall): [0.9969, 0.9668, 0.8928, 0.8004, 0.7, 0.738, 0.6808]
RandomForest (recall): [0.9968, 0.9624, 0.8924, 0.7952, 0.7004, 0.7436, 0.6752]
RandomForest (modified) (precision): [0.994215617831854, 0.9617986470354158, 0.997764863656683, 0.9528571428571428, 0.9803921568627451, 0.994073275862069, 0.9675952245594087]
RandomForest (precision): [0.994115887104817, 0.9620151939224311, 0.9964269763287181, 0.9372937293729373, 0.9652701212789415, 0.9941176470588236, 0.9695577254451465]
