['Training set', '15001-20000', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
Vote (accuracy): [99.2, 92.18, 91.98, 91.48, 83.56, 80.98, 83.28, 78.4]
RandomCommittee (accuracy): [99.55333333333333, 97.9, 95.6, 93.6, 86.78, 83.6, 85.48, 83.02]
J48 (accuracy): [98.82, 94.1, 90.42, 93.04, 84.3, 85.12, 78.38, 73.96]
RandomTree (accuracy): [99.19333333333333, 92.18, 91.92, 91.48, 83.56, 80.98, 83.24, 78.38]
RandomForest (accuracy): [99.55333333333333, 97.84, 95.44, 93.5, 86.22, 83.0, 86.28, 82.78]
JRip (accuracy): [98.68, 95.34, 92.7, 91.28, 84.76, 85.46, 84.38, 80.08]
PART (accuracy): [98.91333333333333, 94.58, 92.36, 91.08, 85.06, 84.12, 86.9, 81.3]
IBk (accuracy): [99.24666666666667, 93.32, 90.98, 91.24, 85.88, 81.18, 83.86, 78.48]
Vote (auc): [0.9993758933333333, 0.99060256, 0.98508984, 0.9899476, 0.937552, 0.95066256, 0.94814048, 0.87681448]
RandomCommittee (auc): [0.9996852177777777, 0.99255672, 0.9861036, 0.99014088, 0.9477748, 0.96159016, 0.95548472, 0.8887576]
J48 (auc): [0.9936528266666667, 0.93883808, 0.91631672, 0.9420776, 0.84860416, 0.85708992, 0.78111624, 0.7587576]
RandomTree (auc): [0.9919333333333333, 0.9218, 0.9192, 0.9148, 0.8356, 0.8098, 0.8324, 0.7838]
RandomForest (auc): [0.9993926933333334, 0.99286792, 0.98562496, 0.99094824, 0.94507008, 0.95923408, 0.95808992, 0.88492664]
JRip (auc): [0.9920209422222223, 0.9457664, 0.94296448, 0.91979104, 0.8683832, 0.85591008, 0.86855392, 0.814384]
PART (auc): [0.9941066577777777, 0.94249568, 0.930144, 0.91079872, 0.88852464, 0.85102472, 0.87534056, 0.83072256]
IBk (auc): [0.9932076622222222, 0.94442856, 0.90303664, 0.91687584, 0.87689064, 0.83175064, 0.83637696, 0.7490088]
Vote (recall): [0.9952, 0.956, 0.9204, 0.8564, 0.772, 0.6868, 0.7584, 0.7156]
RandomCommittee (recall): [0.9973333333333333, 0.9632, 0.9468, 0.8752, 0.7964, 0.6972, 0.7432, 0.6884]
J48 (recall): [0.9925333333333334, 0.9616, 0.9136, 0.894, 0.8516, 0.7912, 0.7632, 0.7468]
RandomTree (recall): [0.9952, 0.956, 0.9204, 0.8564, 0.772, 0.6868, 0.7584, 0.7156]
RandomForest (recall): [0.9973333333333333, 0.9628, 0.9436, 0.8732, 0.7864, 0.6888, 0.7468, 0.6812]
JRip (recall): [0.9921333333333333, 0.95, 0.916, 0.8468, 0.7868, 0.7564, 0.788, 0.7164]
PART (recall): [0.9932, 0.9616, 0.9308, 0.8468, 0.7896, 0.7516, 0.7988, 0.756]
IBk (recall): [0.996, 0.9488, 0.9092, 0.8504, 0.7924, 0.6972, 0.756, 0.6576]
Vote (precision): [0.9888712241653418, 0.8947959565705729, 0.919296843787455, 0.9696557971014492, 0.8845096241979835, 0.9108753315649868, 0.8909774436090225, 0.8290083410565339]
RandomCommittee (precision): [0.9937558124086622, 0.9946303180503924, 0.9645476772616137, 0.9963570127504554, 0.9290713952403173, 0.9651162790697675, 0.956745623069001, 0.9609156895589056]
J48 (precision): [0.9840052875082618, 0.9235497502881291, 0.8967412642324303, 0.9641932700603969, 0.837200157294534, 0.899090909090909, 0.7959949937421777, 0.736198738170347]
RandomTree (precision): [0.9887402304941052, 0.8947959565705729, 0.918196328810854, 0.9696557971014492, 0.8845096241979835, 0.9108753315649868, 0.8901408450704226, 0.8286243631310792]
RandomForest (precision): [0.9937558124086622, 0.9938067712634187, 0.96443172526574, 0.9963486992240986, 0.9269212635549269, 0.959866220735786, 0.9723958333333333, 0.9637804187889077]
JRip (precision): [0.9816622691292876, 0.9565042287555376, 0.9366053169734151, 0.9755760368663594, 0.8957194899817851, 0.9412643106022897, 0.8869878433138226, 0.8618864292589028]
PART (precision): [0.9851871445575981, 0.9321442419542458, 0.9175867507886435, 0.9711009174311926, 0.8993166287015946, 0.915692007797271, 0.9292694276407631, 0.8532731376975169]
IBk (precision): [0.989010989010989, 0.9200930954228084, 0.9102923508209851, 0.9707762557077626, 0.9137453874538746, 0.9045147898287493, 0.9056061332055583, 0.8819742489270386]
