['Training set', '15001-20000', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
AdaBoostM1 (modified) (0) (accuracy): [99.55333333333333, 97.94, 95.6, 93.64, 87.4, 83.68, 86.06, 82.58]
RandomForest (modified) (1) (accuracy): [99.04, 97.94, 95.54, 92.92, 86.48, 85.76, 87.96, 83.84]
RandomForest (2) (accuracy): [99.55333333333333, 97.84, 95.44, 93.5, 86.22, 83.0, 86.28, 82.78]
AdaBoostM1 (modified) (0) (auc): [0.9993214844444445, 0.99194864, 0.9848904, 0.99014568, 0.9510872, 0.96338848, 0.95464896, 0.89847344]
RandomForest (modified) (1) (auc): [0.9986836355555555, 0.99369584, 0.98245872, 0.9901336, 0.95288912, 0.97021608, 0.97109648, 0.90302848]
RandomForest (2) (auc): [0.9993926933333334, 0.99286792, 0.98562496, 0.99094824, 0.94507008, 0.95923408, 0.95808992, 0.88492664]
AdaBoostM1 (modified) (0) (recall): [0.9973333333333333, 0.9632, 0.9452, 0.876, 0.802, 0.7, 0.7512, 0.6788]
RandomForest (modified) (1) (recall): [0.9918666666666667, 0.9616, 0.9456, 0.8776, 0.7992, 0.7396, 0.7772, 0.6992]
RandomForest (2) (recall): [0.9973333333333333, 0.9628, 0.9436, 0.8732, 0.7864, 0.6888, 0.7468, 0.6812]
AdaBoostM1 (modified) (0) (precision): [0.9937558124086622, 0.9954526663910707, 0.9660670482420278, 0.9963603275705186, 0.9369158878504673, 0.9636563876651982, 0.9615975422427036, 0.9614730878186969]
RandomForest (modified) (1) (precision): [0.9889657006115394, 0.997096640398175, 0.9645042839657283, 0.9785905441570026, 0.919889502762431, 0.9680628272251309, 0.977364185110664, 0.9689578713968958]
RandomForest (2) (precision): [0.9937558124086622, 0.9938067712634187, 0.96443172526574, 0.9963486992240986, 0.9269212635549269, 0.959866220735786, 0.9723958333333333, 0.9637804187889077]
