['Training set', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.545, 96.54, 94.44, 87.58, 84.4, 86.76, 82.58]
RandomForest (accuracy): [99.545, 96.22, 94.46, 87.1, 83.76, 86.96, 82.7]
RandomForest (modified) (auc): [0.99965896, 0.9935548, 0.9945784, 0.95669296, 0.97399552, 0.97166616, 0.92099408]
RandomForest (auc): [0.999472455, 0.99359192, 0.99359584, 0.95181688, 0.97066016, 0.96904104, 0.91949216]
RandomForest (modified) (recall): [0.9969, 0.968, 0.894, 0.8004, 0.7068, 0.7396, 0.676]
RandomForest (recall): [0.9968, 0.9624, 0.8924, 0.7952, 0.7004, 0.7436, 0.6752]
RandomForest (modified) (precision): [0.9940173496859108, 0.9629924393155591, 0.9942170818505338, 0.9425341497880358, 0.974090407938258, 0.9940860215053764, 0.9651627641347801]
RandomForest (precision): [0.994115887104817, 0.9620151939224311, 0.9964269763287181, 0.9372937293729373, 0.9652701212789415, 0.9941176470588236, 0.9695577254451465]
