['Training set', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.575, 96.42, 94.62, 87.7, 84.3, 86.62, 82.72]
RandomForest (accuracy): [99.545, 96.22, 94.46, 87.1, 83.76, 86.96, 82.7]
RandomForest (modified) (auc): [0.9997188, 0.99279192, 0.9947468, 0.9597332, 0.97512096, 0.97692024, 0.9233]
RandomForest (auc): [0.999472455, 0.99359192, 0.99359584, 0.95181688, 0.97066016, 0.96904104, 0.91949216]
RandomForest (modified) (recall): [0.9969, 0.9652, 0.8944, 0.7956, 0.7036, 0.7368, 0.6772]
RandomForest (recall): [0.9968, 0.9624, 0.8924, 0.7952, 0.7004, 0.7436, 0.6752]
RandomForest (modified) (precision): [0.994612391499551, 0.9632734530938124, 0.99776885319054, 0.9503105590062112, 0.9755962285080422, 0.9940636805180788, 0.9674285714285714]
RandomForest (precision): [0.994115887104817, 0.9620151939224311, 0.9964269763287181, 0.9372937293729373, 0.9652701212789415, 0.9941176470588236, 0.9695577254451465]
