['Training set', '15001-20000', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.56666666666666, 97.9, 95.28, 94.04, 87.78, 83.42, 86.84, 83.48]
RandomForest (accuracy): [99.55333333333333, 97.84, 95.44, 93.5, 86.22, 83.0, 86.28, 82.78]
RandomForest (modified) (auc): [0.9996977244444445, 0.99345816, 0.98605272, 0.9905216, 0.94490376, 0.96301768, 0.9636872, 0.9009776]
RandomForest (auc): [0.9993926933333334, 0.99286792, 0.98562496, 0.99094824, 0.94507008, 0.95923408, 0.95808992, 0.88492664]
RandomForest (modified) (recall): [0.9974666666666666, 0.9624, 0.9404, 0.8808, 0.798, 0.694, 0.7416, 0.6892]
RandomForest (recall): [0.9973333333333333, 0.9628, 0.9436, 0.8732, 0.7864, 0.6888, 0.7468, 0.6812]
RandomForest (modified) (precision): [0.993888667463797, 0.9954489035995036, 0.9643150123051681, 1.0, 0.9495478343645883, 0.9644246803779878, 0.9935691318327974, 0.9723476297968398]
RandomForest (precision): [0.9937558124086622, 0.9938067712634187, 0.96443172526574, 0.9963486992240986, 0.9269212635549269, 0.959866220735786, 0.9723958333333333, 0.9637804187889077]
