['Training set', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [98.84, 96.34, 94.7, 88.3, 84.6, 88.42, 83.84]
RandomForest (accuracy): [99.545, 96.22, 94.46, 87.1, 83.76, 86.96, 82.7]
RandomForest (modified) (auc): [0.99867341, 0.99073968, 0.9940648, 0.9590952, 0.97446968, 0.9802264, 0.92732]
RandomForest (auc): [0.999472455, 0.99359192, 0.99359584, 0.95181688, 0.97066016, 0.96904104, 0.91949216]
RandomForest (modified) (recall): [0.9885, 0.9636, 0.896, 0.81, 0.722, 0.7728, 0.6996]
RandomForest (recall): [0.9968, 0.9624, 0.8924, 0.7952, 0.7004, 0.7436, 0.6752]
RandomForest (modified) (precision): [0.9883023395320936, 0.9632147141143542, 0.9977728285077951, 0.9484777517564403, 0.9601063829787234, 0.9943386515697376, 0.96843853820598]
RandomForest (precision): [0.994115887104817, 0.9620151939224311, 0.9964269763287181, 0.9372937293729373, 0.9652701212789415, 0.9941176470588236, 0.9695577254451465]
