['Training set', '15001-20000', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.57333333333334, 97.9, 95.36, 93.74, 87.46, 83.62, 86.44, 83.3]
RandomForest (accuracy): [99.55333333333333, 97.84, 95.44, 93.5, 86.22, 83.0, 86.28, 82.78]
RandomForest (modified) (auc): [0.9995533155555556, 0.99337496, 0.98588136, 0.99068184, 0.94591664, 0.96326216, 0.96138216, 0.89752072]
RandomForest (auc): [0.9993926933333334, 0.99286792, 0.98562496, 0.99094824, 0.94507008, 0.95923408, 0.95808992, 0.88492664]
RandomForest (modified) (recall): [0.9974666666666666, 0.9612, 0.942, 0.8748, 0.796, 0.6972, 0.7408, 0.6888]
RandomForest (recall): [0.9973333333333333, 0.9628, 0.9436, 0.8732, 0.7864, 0.6888, 0.7468, 0.6812]
RandomForest (modified) (precision): [0.9940207281424396, 0.9966818747407714, 0.9643734643734644, 1.0, 0.9444708115804461, 0.9656509695290859, 0.9840595111583422, 0.9679595278246206]
RandomForest (precision): [0.9937558124086622, 0.9938067712634187, 0.96443172526574, 0.9963486992240986, 0.9269212635549269, 0.959866220735786, 0.9723958333333333, 0.9637804187889077]
