['Training set', '15001-20000', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.57333333333334, 97.92, 95.32, 94.12, 87.98, 83.48, 86.76, 83.44]
RandomForest (accuracy): [99.55333333333333, 97.84, 95.44, 93.5, 86.22, 83.0, 86.28, 82.78]
RandomForest (modified) (auc): [0.9996973244444445, 0.9936076, 0.98626776, 0.99063616, 0.945446, 0.96295288, 0.9630992, 0.90142408]
RandomForest (auc): [0.9993926933333334, 0.99286792, 0.98562496, 0.99094824, 0.94507008, 0.95923408, 0.95808992, 0.88492664]
RandomForest (modified) (recall): [0.9974666666666666, 0.9616, 0.9412, 0.8824, 0.8, 0.6948, 0.7396, 0.6896]
RandomForest (recall): [0.9973333333333333, 0.9628, 0.9436, 0.8732, 0.7864, 0.6888, 0.7468, 0.6812]
RandomForest (modified) (precision): [0.9940207281424396, 0.9966832504145937, 0.964344262295082, 1.0, 0.9519276534983341, 0.965, 0.9940860215053764, 0.9707207207207207]
RandomForest (precision): [0.9937558124086622, 0.9938067712634187, 0.96443172526574, 0.9963486992240986, 0.9269212635549269, 0.959866220735786, 0.9723958333333333, 0.9637804187889077]
