['Training set', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (accuracy): [99.555, 96.5, 94.48, 87.76, 84.3, 87.06, 82.6]
RandomForest (accuracy): [99.545, 96.22, 94.46, 87.1, 83.76, 86.96, 82.7]
RandomForest (modified) (auc): [0.999768775, 0.99289432, 0.9949832, 0.95976768, 0.97421408, 0.97263072, 0.92157296]
RandomForest (auc): [0.999472455, 0.99359192, 0.99359584, 0.95181688, 0.97066016, 0.96904104, 0.91949216]
RandomForest (modified) (recall): [0.997, 0.9672, 0.8948, 0.8, 0.7048, 0.7456, 0.6768]
RandomForest (recall): [0.9968, 0.9624, 0.8924, 0.7952, 0.7004, 0.7436, 0.6752]
RandomForest (modified) (precision): [0.994117060524479, 0.9629629629629629, 0.9942222222222222, 0.946969696969697, 0.9740187949143173, 0.9941333333333333, 0.9646522234891676]
RandomForest (precision): [0.994115887104817, 0.9620151939224311, 0.9964269763287181, 0.9372937293729373, 0.9652701212789415, 0.9941176470588236, 0.9695577254451465]
