['Training set', '15001-20000', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (0) (accuracy): [97.62666666666667, 97.62, 94.4, 92.58, 83.76, 83.84, 88.68, 85.1]
RandomForest (modified) (1) (accuracy): [98.56, 97.74, 95.52, 92.96, 86.9, 83.3, 87.68, 84.16]
RandomForest (modified) (2) (accuracy): [98.82, 97.92, 95.52, 92.74, 86.48, 84.46, 88.2, 83.72]
RandomForest (modified) (3) (accuracy): [99.04, 97.94, 95.54, 92.92, 86.48, 85.76, 87.96, 83.84]
RandomForest (4) (accuracy): [99.55333333333333, 97.84, 95.44, 93.5, 86.22, 83.0, 86.28, 82.78]
RandomForest (modified) (0) (auc): [0.9969852622222222, 0.99444864, 0.97931568, 0.98676592, 0.9386488, 0.96379624, 0.97510016, 0.88105312]
RandomForest (modified) (1) (auc): [0.9980844177777778, 0.99416048, 0.9813048, 0.98881984, 0.94817392, 0.96991256, 0.97590576, 0.9024216]
RandomForest (modified) (2) (auc): [0.99846272, 0.99388672, 0.98172704, 0.98923552, 0.9512352, 0.97022008, 0.97365776, 0.90506112]
RandomForest (modified) (3) (auc): [0.9986836355555555, 0.99369584, 0.98245872, 0.9901336, 0.95288912, 0.97021608, 0.97109648, 0.90302848]
RandomForest (4) (auc): [0.9993926933333334, 0.99286792, 0.98562496, 0.99094824, 0.94507008, 0.95923408, 0.95808992, 0.88492664]
RandomForest (modified) (0) (recall): [0.97, 0.9548, 0.94, 0.8764, 0.7752, 0.7032, 0.7788, 0.7248]
RandomForest (modified) (1) (recall): [0.9842666666666666, 0.956, 0.9432, 0.8752, 0.7892, 0.6924, 0.758, 0.6996]
RandomForest (modified) (2) (recall): [0.9882666666666666, 0.9608, 0.9452, 0.874, 0.7996, 0.7132, 0.7688, 0.6968]
RandomForest (modified) (3) (recall): [0.9918666666666667, 0.9616, 0.9456, 0.8776, 0.7992, 0.7396, 0.7772, 0.6992]
RandomForest (4) (recall): [0.9973333333333333, 0.9628, 0.9436, 0.8732, 0.7864, 0.6888, 0.7468, 0.6812]
RandomForest (modified) (0) (precision): [0.9823116392114501, 0.9974926870037609, 0.9475806451612904, 0.9724811362627608, 0.8857404021937842, 0.9638157894736842, 0.9933673469387755, 0.9695024077046549]
RandomForest (modified) (1) (precision): [0.9868983957219252, 0.9987463435018805, 0.9663934426229508, 0.9820466786355476, 0.9390766301761067, 0.9632721202003339, 0.9942287513116475, 0.9770949720670391]
RandomForest (modified) (2) (precision): [0.9881349153446207, 0.9975083056478405, 0.9644897959183674, 0.9785042543663234, 0.9195032198712052, 0.967444384156267, 0.9937952430196484, 0.9688542825361512]
RandomForest (modified) (3) (precision): [0.9889657006115394, 0.997096640398175, 0.9645042839657283, 0.9785905441570026, 0.919889502762431, 0.9680628272251309, 0.977364185110664, 0.9689578713968958]
RandomForest (4) (precision): [0.9937558124086622, 0.9938067712634187, 0.96443172526574, 0.9963486992240986, 0.9269212635549269, 0.959866220735786, 0.9723958333333333, 0.9637804187889077]
